V-----; SWVNR=180826;SQNDL=4;DATE=24-02-14;TIME=00:00:09;TTEMP=15;TDEWP=5;IUFAN=800;ILFAN=5;IUHEA=3000;PYDEF=10;PYAVT=30;PYAVW=1;MSDLY=15;FNDLY=30;OSTRG=5;DBGFL=0;ASIRE=900;DBGRE=900;MPPFL=-1;
SQNR=15;DATE=24-02-14;TIME=00:00:15;STAT=202222;TMPA=2;TMPB=15;TMPC=14;RHUA=91;DWPA=0;UINA=48;UINB=2;IFAN=56;IHEA=1193;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=30;DATE=24-02-14;TIME=00:00:30;STAT=202222;TMPA=2;TMPB=15;TMPC=14;RHUA=91;DWPA=0;UINA=48;UINB=3;IFAN=192;IHEA=0;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=45;DATE=24-02-14;TIME=00:00:45;STAT=202222;TMPA=2;TMPB=15;TMPC=14;RHUA=91;DWPA=0;UINA=48;UINB=2;IFAN=60;IHEA=1189;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=60;DATE=24-02-14;TIME=00:01:00;STAT=202222;TMPA=2;TMPB=15;TMPC=14;RHUA=91;DWPA=0;UINA=48;UINB=2;IFAN=137;IHEA=1184;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=75;DATE=24-02-14;TIME=00:01:15;STAT=202222;TMPA=2;TMPB=15;TMPC=14;RHUA=91;DWPA=0;UINA=48;UINB=2;IFAN=52;IHEA=1189;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=90;DATE=24-02-14;TIME=00:01:30;STAT=202222;TMPA=2;TMPB=15;TMPC=14;RHUA=91;DWPA=0;UINA=48;UINB=2;IFAN=104;IHEA=1184;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=105;DATE=24-02-14;TIME=00:01:45;STAT=202222;TMPA=2;TMPB=15;TMPC=14;RHUA=91;DWPA=0;UINA=48;UINB=2;IFAN=165;IHEA=1184;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=120;DATE=24-02-14;TIME=00:02:00;STAT=202222;TMPA=2;TMPB=15;TMPC=14;RHUA=91;DWPA=0;UINA=48;UINB=3;IFAN=95;IHEA=0;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=135;DATE=24-02-14;TIME=00:02:15;STAT=202222;TMPA=2;TMPB=15;TMPC=14;RHUA=91;DWPA=0;UINA=48;UINB=2;IFAN=179;IHEA=1184;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=150;DATE=24-02-14;TIME=00:02:30;STAT=202222;TMPA=2;TMPB=15;TMPC=14;RHUA=91;DWPA=0;UINA=48;UINB=3;IFAN=153;IHEA=0;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=165;DATE=24-02-14;TIME=00:02:45;STAT=202222;TMPA=2;TMPB=15;TMPC=14;RHUA=91;DWPA=0;UINA=48;UINB=2;IFAN=189;IHEA=1184;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=180;DATE=24-02-14;TIME=00:03:00;STAT=202222;TMPA=2;TMPB=15;TMPC=14;RHUA=91;DWPA=0;UINA=48;UINB=2;IFAN=92;IHEA=1193;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=195;DATE=24-02-14;TIME=00:03:15;STAT=202222;TMPA=2;TMPB=15;TMPC=14;RHUA=91;DWPA=0;UINA=48;UINB=2;IFAN=54;IHEA=1189;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=210;DATE=24-02-14;TIME=00:03:30;STAT=202222;TMPA=2;TMPB=15;TMPC=14;RHUA=91;DWPA=0;UINA=48;UINB=2;IFAN=54;IHEA=1184;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=225;DATE=24-02-14;TIME=00:03:45;STAT=202222;TMPA=2;TMPB=15;TMPC=14;RHUA=91;DWPA=0;UINA=48;UINB=2;IFAN=120;IHEA=1184;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=240;DATE=24-02-14;TIME=00:04:00;STAT=202222;TMPA=2;TMPB=15;TMPC=14;RHUA=91;DWPA=0;UINA=48;UINB=2;IFAN=196;IHEA=1184;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=255;DATE=24-02-14;TIME=00:04:15;STAT=202222;TMPA=2;TMPB=15;TMPC=14;RHUA=91;DWPA=0;UINA=48;UINB=3;IFAN=208;IHEA=0;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=270;DATE=24-02-14;TIME=00:04:30;STAT=202222;TMPA=2;TMPB=15;TMPC=14;RHUA=91;DWPA=0;UINA=48;UINB=2;IFAN=180;IHEA=1184;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=285;DATE=24-02-14;TIME=00:04:45;STAT=202222;TMPA=2;TMPB=15;TMPC=14;RHUA=91;DWPA=0;UINA=48;UINB=3;IFAN=112;IHEA=0;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=300;DATE=24-02-14;TIME=00:05:00;STAT=202222;TMPA=2;TMPB=15;TMPC=14;RHUA=91;DWPA=0;UINA=48;UINB=2;IFAN=100;IHEA=1184;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
C-----;?
C-----;?
